CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,18,15,0
2,Female,19,16,1
3,Male,20,17,2
4,Female,21,18,3
5,Male,22,19,4
6,Female,23,20,5
7,Male,24,21,6
8,Female,25,22,7
9,Male,26,23,8
10,Female,27,24,9
11,Male,28,25,10
12,Female,29,26,11
13,Male,30,27,12
14,Female,31,28,13
15,Male,32,29,14
16,Female,33,30,15
17,Male,34,31,16
18,Female,35,32,17
19,Male,36,33,18
20,Female,37,34,19
21,Male,38,35,20
22,Female,39,36,21
23,Male,40,37,22
24,Female,41,38,23
25,Male,42,39,24
26,Female,43,40,25
27,Male,44,41,26
28,Female,45,42,27
29,Male,46,43,28
30,Female,47,44,29
31,Male,48,45,30
32,Female,49,46,31
33,Male,50,47,32
34,Female,51,48,33
35,Male,52,49,34
36,Female,53,50,35
37,Male,54,51,36
38,Female,55,52,37
39,Male,56,53,38
40,Female,57,54,39
41,Male,58,55,40
42,Female,59,56,41
43,Male,60,57,42
44,Female,61,58,43
45,Male,62,59,44
46,Female,63,60,45
47,Male,64,61,46
48,Female,65,62,47
49,Male,66,63,48
50,Female,67,64,49
51,Male,18,65,50
52,Female,19,66,51
53,Male,20,67,52
54,Female,21,68,53
55,Male,22,69,54
56,Female,23,70,55
57,Male,24,71,56
58,Female,25,72,57
59,Male,26,73,58
60,Female,27,74,59
61,Male,28,15,60
62,Female,29,16,61
63,Male,30,17,62
64,Female,31,18,63
65,Male,32,19,64
66,Female,33,20,65
67,Male,34,21,66
68,Female,35,22,67
69,Male,36,23,68
70,Female,37,24,69
71,Male,38,25,70
72,Female,39,26,71
73,Male,40,27,72
74,Female,41,28,73
75,Male,42,29,74
76,Female,43,30,75
77,Male,44,31,76
78,Female,45,32,77
79,Male,46,33,78
80,Female,47,34,79
81,Male,48,35,80
82,Female,49,36,81
83,Male,50,37,82
84,Female,51,38,83
85,Male,52,39,84
86,Female,53,40,85
87,Male,54,41,86
88,Female,55,42,87
89,Male,56,43,88
90,Female,57,44,89
91,Male,58,45,90
92,Female,59,46,91
93,Male,60,47,92
94,Female,61,48,93
95,Male,62,49,94
96,Female,63,50,95
97,Male,64,51,96
98,Female,65,52,97
99,Male,66,53,98
100,Female,67,54,99
101,Male,18,55,0
102,Female,19,56,1
103,Male,20,57,2
104,Female,21,58,3
105,Male,22,59,4
106,Female,23,60,5
107,Male,24,61,6
108,Female,25,62,7
109,Male,26,63,8
110,Female,27,64,9
111,Male,28,65,10
112,Female,29,66,11
113,Male,30,67,12
114,Female,31,68,13
115,Male,32,69,14
116,Female,33,70,15
117,Male,34,71,16
118,Female,35,72,17
119,Male,36,73,18
120,Female,37,74,19
121,Male,38,15,20
122,Female,39,16,21
123,Male,40,17,22
124,Female,41,18,23
125,Male,42,19,24
126,Female,43,20,25
127,Male,44,21,26
128,Female,45,22,27
129,Male,46,23,28
130,Female,47,24,29
131,Male,48,25,30
132,Female,49,26,31
133,Male,50,27,32
134,Female,51,28,33
135,Male,52,29,34
136,Female,53,30,35
137,Male,54,31,36
138,Female,55,32,37
139,Male,56,33,38
140,Female,57,34,39
141,Male,58,35,40
142,Female,59,36,41
143,Male,60,37,42
144,Female,61,38,43
145,Male,62,39,44
146,Female,63,40,45
147,Male,64,41,46
148,Female,65,42,47
149,Male,66,43,48
150,Female,67,44,49
151,Male,18,45,50
152,Female,19,46,51
153,Male,20,47,52
154,Female,21,48,53
155,Male,22,49,54
156,Female,23,50,55
157,Male,24,51,56
158,Female,25,52,57
159,Male,26,53,58
160,Female,27,54,59
161,Male,28,55,60
162,Female,29,56,61
163,Male,30,57,62
164,Female,31,58,63
165,Male,32,59,64
166,Female,33,60,65
167,Male,34,61,66
168,Female,35,62,67
169,Male,36,63,68
170,Female,37,64,69
171,Male,38,65,70
172,Female,39,66,71
173,Male,40,67,72
174,Female,41,68,73
175,Male,42,69,74
176,Female,43,70,75
177,Male,44,71,76
178,Female,45,72,77
179,Male,46,73,78
180,Female,47,74,79
181,Male,48,15,80
182,Female,49,16,81
183,Male,50,17,82
184,Female,51,18,83
185,Male,52,19,84
186,Female,53,20,85
187,Male,54,21,86
188,Female,55,22,87
189,Male,56,23,88
190,Female,57,24,89
191,Male,58,25,90
192,Female,59,26,91
193,Male,60,27,92
194,Female,61,28,93
195,Male,62,29,94
196,Female,63,30,95
197,Male,64,31,96
198,Female,65,32,97
199,Male,66,33,98
200,Female,67,34,99
